iter	Passed	Remaining
0	1	139
1	2	130
2	4	129
3	4	119
4	6	121
5	7	121
6	9	119
7	10	118
8	11	117
9	12	115
10	14	113
11	15	112
12	16	111
13	17	110
14	19	109
15	20	107
16	21	106
17	22	104
18	24	103
19	25	102
20	26	100
21	28	99
22	29	97
23	30	96
24	31	95
25	33	93
26	34	92
27	35	91
28	36	89
29	37	87
30	38	85
31	39	84
32	40	82
33	41	81
34	42	79
35	43	77
36	44	76
37	45	74
38	46	73
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
